Mon,Day,DOY,Hour,DOY.h,foF2o,foF2m,SSN,Kp,Dst,TEC
1,11,11,18,11.75,4.6,6.15,142,2.33,5,9.34
1,11,11,19,11.79,4.35,5.38,142,2.33,-2,7.57
1,11,11,20,11.83,3.62,4.78,142,2.33,-7,7.01
1,11,11,21,11.88,3.27,4.31,142,1.67,-10,7.23
1,11,11,22,11.92,3.48,3.95,142,1.67,-8,6.68
1,11,11,23,11.96,3.45,3.78,142,1.67,-2,7
1,12,12,0,12,3.52,3.84,133,1,-2,5.78
1,12,12,1,12.04,3.62,4.06,133,1,-8,5.73
1,12,12,2,12.08,3.75,4.16,133,1,-9,5.71
1,12,12,3,12.12,3.75,3.89,133,0.67,-7,5.64
1,12,12,4,12.17,3.58,3.38,133,0.67,-6,5
1,12,12,5,12.21,3.27,3.23,133,0.67,-5,4.88
1,12,12,6,12.25,3.58,3.92,133,1,-2,5.55
1,12,12,7,12.29,4.95,5.37,133,1,1,8.3
1,12,12,8,12.33,7.88,7.01,133,1,-2,15.05
1,12,12,9,12.38,7.35,8.33,133,1,-6,17.35
1,12,12,10,12.42,7.62,9.12,133,1,-7,20.24
1,12,12,11,12.46,9.03,9.47,133,1,-7,24.7
1,12,12,12,12.5,9.16,9.53,133,1.33,-8,23.31
1,12,12,13,12.54,8.06,9.44,133,1.33,-12,21.11
1,12,12,14,12.58,8.03,9.23,133,1.33,-13,21.17
1,12,12,15,12.62,7.88,8.8,133,1,-10,20.66
1,12,12,16,12.67,7.12,8.06,133,1,-8,18.48
1,12,12,17,12.71,6.8,7.1,133,1,-8,15.04
1,12,12,18,12.75,5.3,6.15,133,2.67,-6,10
1,12,12,19,12.79,4.45,5.38,133,2.67,-9,7.82
1,12,12,20,12.83,3.65,4.78,133,2.67,-13,7.35
1,12,12,21,12.88,3.35,4.31,133,3.33,-8,7.49
1,12,12,22,12.92,3.6,3.95,133,3.33,-13,7.22
1,12,12,23,12.96,3.95,3.78,133,3.33,-15,7.27
1,13,13,0,13,3.65,3.84,117,2,-15,5.91
1,13,13,1,13.04,3.83,4.06,117,2,-17,5.73
1,13,13,2,13.08,3.83,4.16,117,2,-19,6.05
1,13,13,3,13.12,3.62,3.88,117,3,-20,5.56
1,13,13,4,13.17,3.65,3.38,117,3,-20,4.82
1,13,13,5,13.21,3.33,3.22,117,3,-13,4.28
1,13,13,6,13.25,3.23,3.91,117,2,-8,4.52
1,13,13,7,13.29,4.6,5.36,117,2,-1,7.39
1,13,13,8,13.33,6.88,7.01,117,2,1,14.06
1,13,13,9,13.38,9.07,8.32,117,1,3,18.74
1,13,13,10,13.42,10.43,9.12,117,1,4,23.61
1,13,13,11,13.46,8.72,9.47,117,1,2,20.59
1,13,13,12,13.5,9.15,9.52,117,1,-1,21.38
1,13,13,13,13.54,7.67,9.43,117,1,-2,19.99
1,13,13,14,13.58,8.35,9.22,117,1,-2,21.5
1,13,13,15,13.62,9.25,8.8,117,0.67,-4,21.26
1,13,13,16,13.67,6.95,8.07,117,0.67,-3,15.87
1,13,13,17,13.71,6.4,7.11,117,0.67,-4,13.07
1,13,13,18,13.75,4.95,6.16,117,0,-3,9.25
1,13,13,19,13.79,4.45,5.38,117,0,-3,7.83
1,13,13,20,13.83,nan,4.78,117,0,-5,nan
1,13,13,21,13.88,nan,4.3,117,1,-5,nan
1,13,13,22,13.92,3.62,3.95,117,1,-4,6.77
1,13,13,23,13.96,3.67,3.77,117,1,-6,6.83
1,14,14,0,14,3.77,3.84,96,3.33,-10,6.27
1,14,14,1,14.04,4.38,4.05,96,3.33,-17,6.54
1,14,14,2,14.08,4.78,4.15,96,3.33,-14,7.08
1,14,14,3,14.12,4.88,3.88,96,2.67,-12,6.39
1,14,14,4,14.17,4.95,3.37,96,2.67,-10,5.93
1,14,14,5,14.21,5.4,3.21,96,2.67,-11,5.02
1,14,14,6,14.25,5.28,3.9,96,1.67,-10,4.77
1,14,14,7,14.29,4.7,5.35,96,1.67,-8,6.65
1,14,14,8,14.33,7,7,96,1.67,-10,14.3
1,14,14,9,14.38,8.57,8.32,96,1,-8,20.94
1,14,14,10,14.42,11.28,9.11,96,1,-3,29.44
1,14,14,11,14.46,10.18,9.46,96,1,-1,29.98
1,14,14,12,14.5,10.25,9.51,96,3.33,-5,29.02
1,14,14,13,14.54,10.1,9.41,96,3.33,-9,26.71
1,14,14,14,14.58,8.85,9.21,96,3.33,-11,22.12
1,14,14,15,14.62,8.32,8.8,96,2.33,-13,19.05
1,14,14,16,14.67,6.92,8.07,96,2.33,-10,14.56
1,14,14,17,14.71,6.05,7.11,96,2.33,-7,12.57
1,14,14,18,14.75,5.3,6.16,96,1.33,-4,8.95
1,14,14,19,14.79,4.25,5.38,96,1.33,-7,7.2
1,14,14,20,14.83,3.4,4.78,96,1.33,-10,6.71
1,14,14,21,14.88,3.9,4.3,96,2.67,-8,6.96
1,14,14,22,14.92,3.85,3.95,96,2.67,-5,6.46
1,14,14,23,14.96,4.12,3.77,96,2.67,-8,6.73
1,15,15,0,15,4.15,3.83,93,1.67,-10,6.55
1,15,15,1,15.04,4.22,4.05,93,1.67,-12,6.3
1,15,15,2,15.08,4.08,4.15,93,1.67,-11,7.17
1,15,15,3,15.12,4.03,3.88,93,0.67,-12,6.28
1,15,15,4,15.17,4.15,3.37,93,0.67,-17,5.55
1,15,15,5,15.21,3.7,3.21,93,0.67,-18,4.92
1,15,15,6,15.25,3.95,3.89,93,1,-18,5.03
1,15,15,7,15.29,5,5.34,93,1,-15,8.33
1,15,15,8,15.33,7.95,6.99,93,1,-14,15.84
1,15,15,9,15.38,8.6,8.31,93,0.67,-13,19.2
1,15,15,10,15.42,9.82,9.1,93,0.67,-11,23.92
1,15,15,11,15.46,10.35,9.45,93,0.67,-9,26.67
1,15,15,12,15.5,8.62,9.5,93,0.33,-7,22.7
1,15,15,13,15.54,8.62,9.4,93,0.33,-5,20.51
1,15,15,14,15.58,9.36,9.21,93,0.33,-4,21.39
1,15,15,15,15.62,8.1,8.8,93,1,-4,20.05
1,15,15,16,15.67,7.75,8.07,93,1,-4,15.38
1,15,15,17,15.71,6.3,7.12,93,1,-3,12
1,15,15,18,15.75,5.2,6.16,93,0.33,-2,7.91
1,15,15,19,15.79,4.3,5.38,93,0.33,-3,7.14
1,15,15,20,15.83,3.4,4.77,93,0.33,-5,6.72
1,15,15,21,15.88,3.27,4.3,93,0.33,-7,6.56
1,15,15,22,15.92,3.55,3.94,93,0.33,-8,6.31
1,15,15,23,15.96,3.92,3.8,93,0.33,-8,6.67
1,16,16,0,16,3.9,3.86,80,0,-8,5.59
1,16,16,1,16.04,4.1,4.08,80,0,-9,5.8
1,16,16,2,16.08,4.17,4.18,80,0,-7,6.52
1,16,16,3,16.12,3.73,3.9,80,0,-6,5.82
1,16,16,4,16.17,3.8,3.39,80,0,-5,5.07
1,16,16,5,16.21,4.42,3.23,80,0,-4,5.28
1,16,16,6,16.25,4.2,3.92,80,1,-4,5.37
1,16,16,7,16.29,4.45,5.37,80,1,-3,7.11
1,16,16,8,16.33,6.95,7.01,80,1,0,12.92
1,16,16,9,16.38,8.1,8.33,80,0.67,1,17.82
1,16,16,10,16.42,9.5,9.12,80,0.67,0,24.33
1,16,16,11,16.46,9.95,9.46,80,0.67,0,25.98
1,16,16,12,16.5,9.05,9.51,80,0.33,-2,22.19
1,16,16,13,16.54,8.45,9.41,80,0.33,-3,21.61
1,16,16,14,16.58,9.44,9.22,80,0.33,-2,21.81
1,16,16,15,16.62,8.68,8.82,80,0.33,-1,18.78
1,16,16,16,16.67,6.7,8.1,80,0.33,0,14.25
1,16,16,17,16.71,6.3,7.15,80,0.33,2,12.37
1,16,16,18,16.75,5.35,6.2,80,0,4,8.64
1,16,16,19,16.79,4.45,5.42,80,0,3,6.74
1,16,16,20,16.83,2.9,4.81,80,0,4,6.12
1,16,16,21,16.88,2.88,4.33,80,0.33,5,6.02
1,16,16,22,16.92,3.52,3.98,80,0.33,4,5.83
1,16,16,23,16.96,3.67,3.83,80,0.33,0,6.14
1,17,17,0,17,3.7,3.89,74,0,-1,5.17
1,17,17,1,17.04,4,4.11,74,0,0,5.39
1,17,17,2,17.08,3.95,4.21,74,0,2,6.07
1,17,17,3,17.12,4.17,3.93,74,0,2,5.53
1,17,17,4,17.17,3.9,3.41,74,0,0,4.84
1,17,17,5,17.21,3.55,3.25,74,0,-1,4.16
1,17,17,6,17.25,3.27,3.94,74,0.33,0,4.08
1,17,17,7,17.29,4.2,5.39,74,0.33,3,6.35
1,17,17,8,17.33,6.58,7.03,74,0.33,6,10.74
1,17,17,9,17.38,6.55,8.34,74,0,6,14.14
1,17,17,10,17.42,8.88,9.13,74,0,5,21.64
1,17,17,11,17.46,10.3,9.47,74,0,4,25.48
1,17,17,12,17.5,8.38,9.52,74,1,3,20.06
1,17,17,13,17.54,7.53,9.42,74,1,2,17.77
1,17,17,14,17.58,7.8,9.23,74,1,2,18.96
1,17,17,15,17.62,8.4,8.83,74,0.67,3,19.63
1,17,17,16,17.67,8.2,8.13,74,0.67,6,16.32
1,17,17,17,17.71,6.45,7.19,74,0.67,9,12.72
1,17,17,18,17.75,5.35,6.24,74,0.33,8,8.27
1,17,17,19,17.79,3.8,5.45,74,0.33,4,6.37
1,17,17,20,17.83,3.4,4.85,74,0.33,0,7
1,17,17,21,17.88,3.08,4.37,74,1.67,-1,6.63
1,17,17,22,17.92,3.62,4.01,74,1.67,-4,6.34
1,17,17,23,17.96,3.92,3.86,74,1.67,-5,6.93
1,18,18,0,18,4,3.92,116,0.67,-7,5.56
1,18,18,1,18.04,3.8,4.14,116,0.67,-9,5.67
1,18,18,2,18.08,3.8,4.23,116,0.67,-10,6.16
1,18,18,3,18.12,3.67,3.95,116,0,-8,5
1,18,18,4,18.17,3.65,3.44,116,0,-8,4.43
1,18,18,5,18.21,3.92,3.28,116,0,-6,4.86
1,18,18,6,18.25,4.4,3.97,116,0,-4,5.57
1,18,18,7,18.29,4.5,5.42,116,0,-4,6.57
1,18,18,8,18.33,5.83,7.06,116,0,-4,10.1
1,18,18,9,18.38,6.6,8.36,116,0,-4,13.69
1,18,18,10,18.42,8.07,9.14,116,0,-3,21.03
1,18,18,11,18.46,11.2,9.48,116,0,-1,24.68
1,18,18,12,18.5,8.43,9.53,116,0.33,1,18.94
1,18,18,13,18.54,7.7,9.43,116,0.33,3,17.65
1,18,18,14,18.58,7.53,9.24,116,0.33,4,18.29
1,18,18,15,18.62,8.25,8.85,116,0,4,17.97
1,18,18,16,18.67,7.28,8.16,116,0,2,15.29
1,18,18,17,18.71,5.85,7.23,116,0,0,11.86
1,18,18,18,18.75,4.9,6.28,116,1,2,8.19
1,18,18,19,18.79,4.25,5.49,116,1,5,7.37
1,18,18,20,18.83,3.92,4.88,116,1,12,7.51
1,18,18,21,18.88,3.15,4.4,116,0,14,7.01
1,18,18,22,18.92,3.48,4.04,116,0,14,6.46
1,18,18,23,18.96,3.85,3.89,116,0,12,7.03
1,19,19,0,19,3.98,3.95,110,0,13,6.61
1,19,19,1,19.04,4.17,4.17,110,0,13,6.54
1,19,19,2,19.08,4.33,4.26,110,0,13,7.4
1,19,19,3,19.12,4.3,3.97,110,0,11,6.72
1,19,19,4,19.17,3.88,3.46,110,0,6,5.78
1,19,19,5,19.21,4.17,3.3,110,0,7,5.58
